season,team,games,epa_off,epa_def,sr_off,sr_def,pass_sr_off,rush_sr_off,expl_off,expl_def,rz_td_off,rz_td_def,third_off,third_def,sack_rate_allowed,sack_rate_def,to_pg,takeaways_pg,l5_epa_off,l5_epa_def,l5_sr_off,l5_sr_def
2025,ARI,17,-0.0153,0.0868,0.4293,0.4869,0.4564,0.3666,0.0671,0.0986,0.5484,0.6567,0.4152,0.4478,0.0789,0.0483,1.176,1.118,-0.0129,0.2516,0.4027,0.5143
2025,ATL,17,-0.0076,0.0094,0.4449,0.4529,0.4668,0.4156,0.0918,0.0833,0.6154,0.5536,0.3366,0.4009,0.0444,0.0905,0.941,1.235,-0.0307,0.0152,0.4081,0.4375
2025,BAL,17,0.037,0.0225,0.4457,0.4415,0.469,0.4187,0.1036,0.0965,0.5,0.5156,0.415,0.3816,0.0895,0.043,1.294,1.118,0.1598,0.0371,0.4678,0.4514
2025,BUF,19,0.1405,0.0008,0.4859,0.4356,0.4986,0.4694,0.1092,0.098,0.68,0.6071,0.4744,0.4254,0.0649,0.06,1.211,1.211,0.126,-0.0588,0.5015,0.4212
2025,CAR,18,-0.0262,0.0631,0.4367,0.4443,0.4521,0.4132,0.0778,0.079,0.5882,0.5714,0.3674,0.4615,0.0588,0.0512,1.278,1.111,-0.0565,0.0555,0.4145,0.4599
2025,CHI,19,0.0705,0.0461,0.4534,0.4637,0.4538,0.4528,0.1008,0.1056,0.6,0.6,0.4377,0.4027,0.0336,0.0579,0.842,1.737,0.1034,0.1511,0.4519,0.4766
2025,CIN,17,0.0113,0.1238,0.464,0.4767,0.4697,0.4528,0.0738,0.1045,0.6964,0.6462,0.4404,0.4406,0.0521,0.0574,1.412,1.235,0.0767,0.0449,0.5059,0.4157
2025,CLE,17,-0.1771,-0.0851,0.3516,0.4079,0.3583,0.3401,0.0612,0.0814,0.5122,0.6042,0.3362,0.3694,0.0796,0.094,1.412,0.941,-0.1863,-0.0697,0.3695,0.463
2025,DAL,17,0.111,0.1623,0.473,0.4866,0.4925,0.4395,0.0823,0.1062,0.5846,0.6716,0.4195,0.475,0.0453,0.0551,1.235,0.647,0.0538,0.2484,0.4594,0.4814
2025,DEN,19,0.024,-0.0549,0.4312,0.3814,0.4361,0.4226,0.0784,0.0629,0.6032,0.4483,0.4122,0.3569,0.0341,0.0987,0.947,0.947,-0.0562,-0.0876,0.4161,0.3668
2025,DET,17,0.0721,0.0109,0.4504,0.425,0.4846,0.3995,0.1011,0.0948,0.6406,0.614,0.3897,0.3726,0.0625,0.0766,0.882,1.118,0.0327,0.0289,0.4222,0.4421
2025,GB,18,0.1291,0.0467,0.4787,0.4474,0.5134,0.4316,0.1054,0.0732,0.5968,0.6,0.4818,0.4068,0.0498,0.0555,0.722,0.833,0.0447,0.15,0.4503,0.4771
2025,HOU,19,-0.0273,-0.1362,0.4149,0.3872,0.4484,0.3625,0.0699,0.0694,0.4531,0.5918,0.3931,0.3414,0.0503,0.0807,1.0,1.684,-0.0953,-0.189,0.4149,0.3564
2025,IND,17,0.0803,0.016,0.4651,0.4586,0.475,0.45,0.0802,0.082,0.6765,0.5455,0.4301,0.4306,0.0479,0.0562,1.235,1.235,-0.0857,0.0839,0.4038,0.4574
2025,JAX,18,0.0378,-0.0637,0.4483,0.4258,0.4784,0.4013,0.0847,0.0672,0.6316,0.62,0.4091,0.413,0.0619,0.0443,1.111,1.611,0.1433,-0.0896,0.4695,0.4085
2025,KC,17,0.043,-0.0065,0.4458,0.441,0.4646,0.4077,0.072,0.0732,0.5556,0.54,0.3814,0.4414,0.0682,0.06,0.882,0.765,-0.2691,-0.0771,0.3418,0.4147
2025,LA,20,0.1473,-0.0499,0.511,0.427,0.5227,0.4933,0.1093,0.0753,0.6437,0.5469,0.3795,0.3829,0.0387,0.0657,0.8,1.5,0.11,0.0411,0.4655,0.452
2025,LAC,18,-0.0251,-0.0724,0.4359,0.4178,0.4644,0.3855,0.0717,0.0798,0.4754,0.4444,0.4462,0.3558,0.091,0.0796,1.111,1.333,-0.078,-0.0775,0.4232,0.4214
2025,LV,17,-0.1923,0.0278,0.3858,0.4478,0.4274,0.3105,0.067,0.0754,0.5,0.5873,0.338,0.469,0.1067,0.0623,1.294,0.941,-0.2248,0.0245,0.3371,0.4532
2025,MIA,17,-0.022,0.0855,0.4208,0.483,0.4337,0.4034,0.1008,0.0972,0.5625,0.6364,0.349,0.401,0.0713,0.0658,1.353,1.059,-0.0271,0.109,0.4326,0.5065
2025,MIN,17,-0.0937,-0.0855,0.4331,0.4166,0.4309,0.4365,0.0842,0.0735,0.5849,0.4375,0.3229,0.3453,0.1043,0.0932,1.647,1.176,0.0418,-0.2444,0.4676,0.372
2025,NE,21,0.092,-0.0802,0.4628,0.4279,0.5203,0.3708,0.1002,0.069,0.6087,0.5536,0.4143,0.3633,0.0896,0.0628,1.143,1.238,-0.0874,-0.2445,0.4199,0.3614
2025,NO,17,-0.0786,-0.0485,0.4239,0.4198,0.4563,0.3666,0.0549,0.0812,0.4348,0.551,0.3964,0.351,0.073,0.0796,1.353,1.176,0.0311,-0.1723,0.4224,0.3444
2025,NYG,17,0.0443,0.0995,0.4303,0.4729,0.4467,0.4065,0.0859,0.1074,0.5,0.6379,0.4054,0.4,0.0766,0.0625,0.941,0.882,0.0257,-0.0479,0.4304,0.4399
2025,NYJ,17,-0.1241,0.1469,0.4077,0.4573,0.4025,0.4158,0.0644,0.1036,0.4651,0.6667,0.3493,0.3798,0.0979,0.0449,1.235,0.176,-0.2784,0.2577,0.352,0.5313
2025,PHI,18,0.0277,-0.0422,0.4319,0.4302,0.4441,0.4151,0.0857,0.0831,0.68,0.5472,0.3722,0.417,0.0588,0.0648,0.722,1.222,0.0844,-0.0363,0.4587,0.43
2025,PIT,18,-0.0015,0.025,0.4339,0.4396,0.4303,0.4398,0.0829,0.0822,0.5741,0.55,0.3874,0.4337,0.0555,0.0705,0.889,1.556,-0.0447,0.0079,0.4196,0.411
2025,SEA,20,0.0507,-0.1187,0.4635,0.4043,0.5276,0.3918,0.1029,0.0615,0.5676,0.5172,0.4025,0.3284,0.0533,0.0681,1.3,1.6,0.078,-0.2471,0.4489,0.4043
2025,SF,19,0.0641,0.0669,0.4786,0.4812,0.5205,0.4153,0.0781,0.072,0.6923,0.6032,0.5108,0.4,0.0427,0.0334,1.421,0.737,0.0356,0.1149,0.4608,0.489
2025,TB,17,0.0025,0.0128,0.4315,0.45,0.4522,0.3986,0.0836,0.0855,0.5741,0.6596,0.4141,0.395,0.059,0.0575,0.941,1.294,0.0226,0.0701,0.4559,0.4306
2025,TEN,17,-0.1484,0.1039,0.3786,0.4533,0.3805,0.375,0.0727,0.0934,0.5882,0.678,0.3217,0.405,0.0867,0.0702,1.118,0.706,-0.0795,0.093,0.3805,0.4548
2025,WAS,17,0.0339,0.1522,0.4643,0.479,0.4895,0.4272,0.0849,0.0972,0.6735,0.6818,0.3797,0.4171,0.0651,0.068,1.235,0.529,-0.0179,0.1706,0.4469,0.4886
2026,ARI,2,-0.033,0.0084,0.4262,0.448,0.4605,0.3696,0.041,0.072,0.5,0.625,0.36,0.381,0.0429,0.0645,0.5,1.5,-0.033,0.0084,0.4262,0.448
